Halifax,FMAPLE,Acer x freemanii
Halifax,fo,Unknown
Halifax,FR,Fraxinus
Halifax,fral,Fraxinus latifolia
Halifax,FRALAT,Fraxinus latifolia
Halifax,FRAM,Fraxinus americana
Halifax,FRAUH,Fraxinus uhdei
Halifax,FREX,Fraxinus excelsior
Halifax,FREX_P,Fraxinus excelsior 'Pendula'
Halifax,FRNI,Fraxinus nigra
Halifax,FRPE,Fraxinus pennsylvanica
Halifax,FRPES,Fraxinus pennsylvanica 'summi
Halifax,frqu,Fraxinus quadrangulata
Halifax,GIBI,Ginkgo biloba
Halifax,gibim,Ginkgo biloba
Halifax,GLTR,Gleditsia triacanthos
Halifax,GYDI,Gymnocladus dioicus
Halifax,haca,Unknown
Halifax,HAVI,Hamamelis virginiana
Halifax,hemi,Unknown
Halifax,HISY,Hibiscus syriacus
Halifax,hop,Unknown
Halifax,hy,Hydrangea spp.
Halifax,HYPA_G,Hydrangea paniculata 'Grandiflora'
Halifax,ILOP,Ilex opaca
Halifax,ILSP,Ilex
Halifax,JUCI,Juglans cinerea
Halifax,JUNI,Juglans nigra
Halifax,JURE,Juglans regia
Halifax,JUVI,Juniperus virginiana
Halifax,KOPA,Koelreuteria paniculata
Halifax,LADE,Larix decidua
Halifax,LALA,Larix laricina
Halifax,LAWA_V,Laburnum x watereri 'Vossii'
Halifax,LISP,Ligustrum
Halifax,LIST,Liquidambar styraciflua
Halifax,LITU,Liriodendron tulipifera
Halifax,lo,Lonicera spp.
Halifax,MA1,Magnolia
Halifax,MA2,Malus
Halifax,MAAC,Magnolia acuminata
Halifax,MAAM9,Maackia amurensis
Halifax,MABRO,Magnolia brooklynensis
Halifax,MADE_E,Magnolia denudata 'Elizabeth'
Halifax,MAHOPA,Malus 'Hopa'
Halifax,MALBAC,Malus baccata
Halifax,MALHUP,Malus hupehensis
Halifax,malo,Malus spp.
Halifax,MALOE,Magnolia x loebneri Leonard Messel
Halifax,MAMAK,Malus 'Makamik'
Halifax,mamo,Malus spp.
Halifax,MAPR,Malus 'Profusion'
Halifax,MASI,Magnolia stellata
Halifax,MASO,magnolia soulangeana
Halifax,MASO_G,magnolia soulangeana 'Galaxy'
Halifax,MAST,Magnolia stellata
Halifax,MATH,Malus 'Thunderchild'
Halifax,MATR,Magnolia tripetala
Halifax,MEGL,Metasequoia glyptostroboides
Halifax,MEGL_G,Metasequoia glyptostroboides 'Goldrush'
