AB,Abies
PIAB,Picea abies
PIBA,Pinus banksiana
PICE2,Pinus cembra
PIGL1,Picea glauca
pigl1a,Picea glauca
PIHE,Pinus heldreichii
PIMA,Picea marina
PIMUGO,Pinus mugo
PINI,Pinus nigra
PINRES,Pinus resinosa
PINRIG,Pinus rigida
PIPU,Picea pungens
PIPU_P,Picea pungens 'Pendula'
PIPUGL,Picea pungens 'glauca'
PIRU,Picea rubens
PIST,Pinus strobus
PIST_P,Pinus strobus 'Pendula'
PISY,Pinus sylvestris
PLAC,Platanus hybrida
PLOC,Platanus occidentalis
PO,Populus
POAL,Populus alba
POBA,Populus balsamifera
PODE,Populus deltoides
POGR,Populus grandidentata
PONI,Populus nigra
PONIIT,Populus nigra 'italica'
POTR1,Populus tremuloides
PR,Prunus
PRAM,Prunus americana
PRCER,Prunus cerasus
PRCI,Prunus x cistena
PRMA,Prunus maackii
PRPE1,Prunus pensylvanica
PRPE2,Prunus persica
PRPP,Prunus 'Pink Perfection'
PRSA,Prunus sargentii
PRSE1,Prunus serotina
PRSE2,Prunus serrulata
PRTR,Prunus triloba
PRVI,Prunus virginiana
PRVISH,"Prunus virginianna ""Shubert"""
PSME,Pseudotsuga menziesii
puma,Unknown
PYCA,Pyrus calleryana
PYCAAR,Pyruc calleryana 'Aristocrat'
PYCACH,Pyrus calleryana 'Chanticleer'
PYCO,Pyrus communis
pyre,Pyrus regelii
PYUS,Pyrus ussuriensis 'Prarie Gem'
QU,Quercus
QUAL,Quercus alba
qubi,Quercus bicolor
quco,Quercus coccinea
QUCOC,Quercus coccinea
QUEBI,Quercus bicolor
QUEL,Quercus ellipsoidalis
QUFAST,Quercus robur 'Fastigiata'
QUIM,Quercus imbricaria
QULY,Quercus lyrata
QUMA1,Quercus macrocarpa
quma2,Quercus macrocarpa
qumu,Quercus muehlenbergii
QUPA,Quercus palustris
QUPAL,Quercus palustris Pringreen
quph,Quercus phellos
QURO,Quercus robur
QURO_C,Quercus robur var. Concordia
QURU,Quercus rubra
QUSHU,Quercus shumardii
QUSTEL,Quercus stellata
QUVEL,Quercus velutina
rh,Rhus spp.
RHGL,Rhus glabra
RHLA,Rhus lanceolata
RHTY,Rhus hirta
ROHIS,Robinia hispida
ROPS,Robinia pseudoacacia
ROPSE,Robinia pseudoacacia
SA,Salix spp.
saal,Salix alba
SAALT,Salix alba 'Tristis'
SABA,Salix x sepulcralis Simonkai
SAMA,Salix matsudana
SAMRAC,Sambucus racemosa
SANI,Salix nigra
SCVE,Sciadopitys verticillata
so,Sorbus spp.
SOAM,Sorbus americana
SOAU,Sorbus aucuparia
SOTH,Sorbus thuringiaca 'Fastigiata'
SYRE,Syringa reticulata
SYVU,Syringa vulgaris
TA,Taxus
TADI,Taxodium distichum
tajap,Taxus cuspidata
THOC,Thuja occdentalis
THOC_S,Thuja occidentalis 'Smaragd'
TI,Tilia
TIAM,Tilia americana
TICO,Tilia cordata
TICOGR,Tilia cordata 'greenspire'
TIEU2,Tilia europaea
TIPL,Tilia platyphyllos
TITO,Tilia tomentosa
to,Toona sinensis
TSCA,Tsuga canadensis
TSCA_J,Tsuga canadensis 'Jeddeloh'
u,Ulmus spp.
ULAC,Ulmus laciniata
ULAL,Ulmus alata
ULAM,Ulmus americana
ULAM_P,Ulmus americana 'Princeton'
ULCAHO,Ulmus carpinifolia 'hollandic
ULCRA,Ulmus crassifolia
ULGL,Ulmus glabra
ULGL_C,Ulmus glabra 'Camperdownii'
ULGL_L,Ulmus glabra var. Lutescens
ULGL_P,Ulmus glabra 'Pendula'
ULPA,Ulmus parvifolia
ULPIO,Ulmus x 'Pioneer'
ULPR,Ulmus procera
ULPU,Ulmus pumila
ULRU,Ulmus rubra
ULS,Elm
ULTH,Ulmus thomasii
UNO,Unknown
VIOPU,Viburnum opulus
VIRHY,Viburnum rhytidophyllum
we,Weigela
ZE,Zelkova
ZESE,Zelkova serrata
