Botanical Name,family,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,Ontario,Quebec,Saskatchewan
aconitum columbianum,Ranunculaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
aconitum columbianum var. columbianum,Ranunculaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
aconitum delphiniifolium,Ranunculaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
aconitum x cammarum,Ranunculaceae,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0
acorus spp.,Acoraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acorus americanus,Acoraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acorus calamus,Acoraceae,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
actaea spp.,Ranunculaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actaea elata,Ranunculaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
actaea pachypoda,Ranunculaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
actaea pachypoda f. pachypoda,Ranunculaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
actaea pachypoda f. rubrocarpa,Ranunculaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
actaea racemosa,Ranunculaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
actaea racemosa var. racemosa,Ranunculaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
actaea rubra,Ranunculaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actaea x ludovicii,Ranunculaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
actinidia spp.,Actinidiaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
actinidia arguta,Actinidiaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
actinidia arguta var. arguta,Actinidiaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
adelinia spp.,Boraginaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
adelinia grandis,Boraginaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
adenocaulon spp.,Asteraceae,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
adenocaulon bicolor,Asteraceae,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
adiantum spp.,Pteridaceae,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
adiantum aleuticum,Pteridaceae,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
adiantum capillus-veneris,Pteridaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
adiantum pedatum,Pteridaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
adiantum x viridimontanum,Pteridaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
adlumia spp.,Papaveraceae,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
adlumia fungosa,Papaveraceae,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
adoxa spp.,Viburnaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
adoxa moschatellina,Viburnaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
adoxa moschatellina subsp. moschatellina,Viburnaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
aegopodium spp.,Apiaceae,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aegopodium podagraria,Apiaceae,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aesculus spp.,Sapindaceae,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
aesculus glabra,Sapindaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
aesculus glabra var. glabra,Sapindaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
aesculus hippocastanum,Sapindaceae,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
aesculus pavia,Sapindaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
aesculus pavia var. pavia,Sapindaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
aethusa spp.,Apiaceae,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
