Botanical Name,family,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,Ontario,Quebec,Saskatchewan
carex luzulina,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex luzulina var. ablata,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex luzulina var. luzulina,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex lyngbyei,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex mackenziei,Cyperaceae,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex macloviana,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
carex macloviana var. macloviana,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
carex macrocephala,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex macrochaeta,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex magellanica,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex magellanica subsp. irrigua,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex marina,Cyperaceae,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
carex marina subsp. marina,Cyperaceae,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
carex maritima,Cyperaceae,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0
carex meadii,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
carex media,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex membranacea,Cyperaceae,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
carex merritt-fernaldii,Cyperaceae,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
carex mertensii,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex mertensii var. mertensii,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex mesochorea,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex michauxiana,Cyperaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
carex microchaeta,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex microchaeta subsp. microchaeta,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex microglochin,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
carex micropoda,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex microptera,Cyperaceae,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
carex miliaris,Cyperaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
carex molesta,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex muehlenbergii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex muehlenbergii var. enervis,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex muehlenbergii var. muehlenbergii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex muskingumensis,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex myosuroides,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
carex nardina,Cyperaceae,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
carex nardina var. hepburnii,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex nardina var. nardina,Cyperaceae,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
carex nebrascensis,Cyperaceae,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
carex nigra,Cyperaceae,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
carex nigra subsp. nigra,Cyperaceae,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
carex nigricans,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex nigromarginata,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex normalis,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex norvegica,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex norvegica subsp. norvegica,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex novae-angliae,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex obnupta,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex obtusata,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
carex oederi,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex oederi var. oederi,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex oklahomensis,Cyperaceae,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
carex oligocarpa,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex oligosperma,Cyperaceae,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
carex ormostachya,Cyperaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
carex pachystachya,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
carex pairae,Cyperaceae,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
carex paleacea,Cyperaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
carex pallescens,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex panicea,Cyperaceae,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
carex pansa,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex parryana,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
carex pauciflora,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
carex paysonis,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex peckii,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex pedunculata,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex pellita,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex pensylvanica,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex petasata,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
carex petricosa,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
carex petricosa var. misandroides,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex petricosa var. petricosa,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex phaeocephala,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex plantaginea,Cyperaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
carex platyphylla,Cyperaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
carex pluriflora,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex podocarpa,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex praeceptorum,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex praegracilis,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex prairea,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex prasina,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex praticola,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex preslii,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex projecta,Cyperaceae,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
carex pseudocyperus,Cyperaceae,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
carex pseudocyperus var. pseudocyperus,Cyperaceae,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
carex radiata,Cyperaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
carex rariflora,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex rariflora var. rariflora,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex raynoldsii,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
carex recta,Cyperaceae,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
carex retroflexa,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex retrorsa,Cyperaceae,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
carex rhomalea,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex richardsonii,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex rosea,Cyperaceae,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
carex rossii,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
carex rostrata,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex rostrata var. ambigens,Cyperaceae,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0
carex rostrata var. rostrata,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex rotundata,Cyperaceae,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
carex rufina,Cyperaceae,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
carex rupestris,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
carex rupestris subsp. rupestris,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
carex salina,Cyperaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
carex salina var. pseudofilipendula,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex salina var. salina,Cyperaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
carex sartwellii,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex sartwellii var. sartwellii,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex saxatilis,Cyperaceae,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
carex saxilittoralis,Cyperaceae,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
carex saximontana,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
carex scabrata,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex schweinitzii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex scirpoidea,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex scirpoidea var. convoluta,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex scirpoidea var. pseudoscirpoidea,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex scirpoidea var. scirpoidea,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex scirpoidea var. stenochlaena,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex scoparia,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
carex scopulorum,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex scopulorum var. bracteosa,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex scopulorum var. prionophylla,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex seorsa,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex shortiana,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex siccata,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex siccata var. siccata,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex silicea,Cyperaceae,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
carex simpliciuscula,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
carex simpliciuscula subsp. simpliciuscula,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
carex simulata,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0
carex sparganioides,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex spectabilis,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex spicata,Cyperaceae,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
carex spicata subsp. spicata,Cyperaceae,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
carex sprengelii,Cyperaceae,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
carex squarrosa,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex sterilis,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
carex stipata,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex stipata var. stipata,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex stricta,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex stylosa,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
carex suberecta,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex subspathacea,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex supina,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
carex supina var. spaniocarpa,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
carex swanii,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex sychnocephala,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
carex sylvatica,Cyperaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
carex sylvatica subsp. sylvatica,Cyperaceae,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
carex tahoensis,Cyperaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex tenera,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex tenuiflora,Cyperaceae,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
carex tetanica,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
carex tincta,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex tonsa,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex tonsa var. rugosperma,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
carex tonsa var. tonsa,Cyperaceae,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
carex torreyi,Cyperaceae,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
carex torta,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex tribuloides,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex tribuloides var. tribuloides,Cyperaceae,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
carex trichocarpa,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex trisperma,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex tuckermanii,Cyperaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
carex tumulicola,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex typhina,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex umbellata,Cyperaceae,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
carex unilateralis,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex ursina,Cyperaceae,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
carex utriculata,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex vacillans,Cyperaceae,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
carex vaginata,Cyperaceae,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
carex vaginata var. vaginata,Cyperaceae,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
carex vallicola,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex vesicaria,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
carex virescens,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex vulpinoidea,Cyperaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carex waponahkikensis,Cyperaceae,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0
carex wiegandii,Cyperaceae,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0
carex willdenowii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex williamsii,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex woodii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex xerantica,Cyperaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
carex zikae,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex x abitibiana,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x cayouettei,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x connectens,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x crinitoides,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x dumanii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x exsalina,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x firmior,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x flavicans,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x flavicans nothovar. flavicans,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x flavicans nothovar. substans,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x grantii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x halophila,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex x halophila nothovar. halophila,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x halophila nothovar. stansalina,Cyperaceae,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
carex x hartii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x helvola,Cyperaceae,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0
carex x heterophyta,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex x hibernica,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x involuta,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x josephi-schmittii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x knieskernii,Cyperaceae,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
carex x langeana,Cyperaceae,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
carex x leutzii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x limula,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x macounii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carex x mainensis,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x massonii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x mendica,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x neobigelowii,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x neofilipendula,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x neomiliaris,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x notholimosioides,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x patuensis,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x payettei,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x persalina,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x physocarpoides,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x pseudohelvola,Cyperaceae,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0
carex x quebecensis,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x quirponensis,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x reducta,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x saxenii,Cyperaceae,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0
carex x spiculosa,Cyperaceae,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0
carex x stygia,Cyperaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
carex x subpaleacea,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x subrecta,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x subreducta,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x subviridula,Cyperaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carex x trichina,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x ungavensis,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carex x xanthocarpa,Cyperaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
carpinus spp.,Betulaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carpinus caroliniana,Betulaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carpinus caroliniana subsp. virginiana,Betulaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carthamus spp.,Asteraceae,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
carthamus creticus,Asteraceae,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
carthamus tinctorius,Asteraceae,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
carum spp.,Apiaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
carum carvi,Apiaceae,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
carya spp.,Juglandaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carya cordiformis,Juglandaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carya glabra,Juglandaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carya glabra var. glabra,Juglandaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carya laciniosa,Juglandaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
carya ovata,Juglandaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carya ovata var. ovata,Juglandaceae,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
carya tomentosa,Juglandaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
cassiope spp.,Ericaceae,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
cassiope hypnoides,Ericaceae,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
cassiope lycopodioides,Ericaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
cassiope mertensiana,Ericaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
cassiope mertensiana subsp. mertensiana,Ericaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
cassiope stelleriana,Ericaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
cassiope tetragona,Ericaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
cassiope tetragona subsp. saximontana,Ericaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
cassiope tetragona subsp. tetragona,Ericaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castanea spp.,Fagaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
castanea dentata,Fagaceae,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
castilleja spp.,Orobanchaceae,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
castilleja ambigua,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja ambigua var. ambigua,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja attenuata,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja cervina,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja coccinea,Orobanchaceae,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0
castilleja cusickii,Orobanchaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja elegans,Orobanchaceae,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0
castilleja elmeri,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja hispida,Orobanchaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja hispida var. hispida,Orobanchaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja hyperborea,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja levisecta,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja lutescens,Orobanchaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja miniata,Orobanchaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
castilleja miniata var. dixonii,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja miniata var. fulva,Orobanchaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja miniata var. miniata,Orobanchaceae,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
castilleja minor,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja minor var. exilis,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja occidentalis,Orobanchaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja parviflora,Orobanchaceae,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
castilleja parviflora var. albida,Orobanchaceae,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
