City,DAUID,City Area
Toronto,35201046,Downtown
Toronto,35201047,Downtown
Toronto,35201048,Downtown
Toronto,35201049,Downtown
Toronto,35201050,Downtown
Toronto,35201051,Downtown
Toronto,35201052,Downtown
Toronto,35201053,Downtown
Toronto,35201054,Downtown
Toronto,35201055,Downtown
Toronto,35201056,Downtown
Toronto,35201057,Downtown
Toronto,35201058,Downtown
Toronto,35201059,Downtown
Toronto,35201060,Downtown
Toronto,35201061,Downtown
Toronto,35201062,Downtown
Toronto,35201063,Downtown
Toronto,35201436,Downtown
Toronto,35201437,Downtown
Toronto,35202812,Downtown
Toronto,35202813,Downtown
Toronto,35202814,Downtown
Toronto,35202817,Downtown
Toronto,35202818,Downtown
Toronto,35202819,Downtown
Toronto,35202820,Downtown
Toronto,35202821,Downtown
Toronto,35202823,Downtown
Toronto,35202840,Downtown
Toronto,35202842,Downtown
Toronto,35202843,Downtown
Toronto,35202845,Downtown
Toronto,35202846,Downtown
Toronto,35202847,Downtown
Toronto,35202848,Downtown
Toronto,35202849,Downtown
Toronto,35202850,Downtown
Toronto,35203176,Downtown
Toronto,35203183,Downtown
Toronto,35203184,Downtown
Toronto,35203991,Downtown
Toronto,35204004,Downtown
Toronto,35204019,Downtown
Toronto,35204021,Downtown
Toronto,35204091,Downtown
Toronto,35204157,Downtown
Toronto,35204228,Downtown
Toronto,35204229,Downtown
Toronto,35204230,Downtown
Toronto,35204245,Downtown
Toronto,35204246,Downtown
Toronto,35204275,Downtown
Toronto,35204562,Downtown
Toronto,35204563,Downtown
Toronto,35204564,Downtown
Toronto,35204565,Downtown
Toronto,35204566,Downtown
Toronto,35204567,Downtown
Toronto,35204578,Downtown
Toronto,35204579,Downtown
Toronto,35204580,Downtown
Toronto,35204581,Downtown
Toronto,35204582,Downtown
Toronto,35204583,Downtown
Toronto,35204584,Downtown
Toronto,35204585,Downtown
Toronto,35204586,Downtown
Toronto,35204587,Downtown
Toronto,35204589,Downtown
Toronto,35204590,Downtown
Toronto,35204591,Downtown
Toronto,35204592,Downtown
Toronto,35204593,Downtown
Toronto,35204594,Downtown
Toronto,35204595,Downtown
Toronto,35204596,Downtown
Toronto,35204597,Downtown
Toronto,35204598,Downtown
Toronto,35204599,Downtown
Toronto,35204600,Downtown
Toronto,35204601,Downtown
Toronto,35204602,Downtown
Toronto,35204603,Downtown
Toronto,35204605,Downtown
Toronto,35204606,Downtown
Toronto,35204607,Downtown
Toronto,35204608,Downtown
Toronto,35204609,Downtown
Toronto,35204610,Downtown
Toronto,35204611,Downtown
Toronto,35204612,Downtown
Toronto,35204613,Downtown
Toronto,35204614,Downtown
Toronto,35204615,Downtown
Toronto,35204616,Downtown
Toronto,35204617,Downtown
Toronto,35204618,Downtown
Toronto,35204620,Downtown
Toronto,35204621,Downtown
Toronto,35204622,Downtown
Toronto,35204623,Downtown
Toronto,35204624,Downtown
Toronto,35204650,Downtown
Toronto,35204652,Downtown
Toronto,35204653,Downtown
Toronto,35204655,Downtown
Toronto,35204656,Downtown
Toronto,35204819,Downtown
Toronto,35204820,Downtown
Toronto,35204821,Downtown
Toronto,35204822,Downtown
Toronto,35204823,Downtown
Toronto,35204824,Downtown
Toronto,35204825,Downtown
Toronto,35204826,Downtown
Toronto,35204841,Downtown
Toronto,35204842,Downtown
Toronto,35204843,Downtown
Toronto,35204844,Downtown
Toronto,35204845,Downtown
Toronto,35204882,Downtown
Toronto,35204883,Downtown
Toronto,35204894,Downtown
Toronto,35204895,Downtown
Toronto,35204896,Downtown
Toronto,35204897,Downtown
Toronto,35204898,Downtown
Toronto,35204899,Downtown
Toronto,35204900,Downtown
Toronto,35204901,Downtown
Toronto,35204902,Downtown
Toronto,35204922,Downtown
Toronto,35204923,Downtown
Toronto,35204941,Downtown
Toronto,35204942,Downtown
Toronto,35204993,Downtown
Toronto,35204994,Downtown
Toronto,35204995,Downtown
Toronto,35204996,Downtown
Toronto,35204997,Downtown
Toronto,35204998,Downtown
Toronto,35205060,Downtown
Toronto,35205061,Downtown
Toronto,35205062,Downtown
Toronto,35205063,Downtown
St. Catharines,35260382,Downtown
St. Catharines,35260383,Downtown
St. Catharines,35260384,Downtown
St. Catharines,35260385,Downtown
St. Catharines,35260386,Downtown
St. Catharines,35260387,Downtown
St. Catharines,35260388,Downtown
St. Catharines,35260389,Downtown
St. Catharines,35260390,Downtown
St. Catharines,35260438,Downtown
St. Catharines,35260439,Downtown
St. Catharines,35260440,Downtown
St. Catharines,35260441,Downtown
St. Catharines,35260442,Downtown
St. Catharines,35260443,Downtown
St. Catharines,35260445,Downtown
St. Catharines,35260446,Downtown
St. Catharines,35260447,Downtown
St. Catharines,35260448,Downtown
St. Catharines,35260449,Downtown
St. Catharines,35260450,Downtown
St. Catharines,35260451,Downtown
St. Catharines,35260452,Downtown
St. Catharines,35260453,Downtown
St. Catharines,35260506,Downtown
St. Catharines,35260509,Downtown
St. Catharines,35260510,Downtown
Kitchener,35300137,Downtown
Kitchener,35300113,Downtown
Kitchener,35300110,Downtown
Kitchener,35300136,Downtown
Kitchener,35300104,Downtown
Kitchener,35300139,Downtown
Kitchener,35300363,Downtown
Kitchener,35300364,Downtown
Kitchener,35300365,Downtown
Kitchener,35300366,Downtown
Kitchener,35300367,Downtown
Kitchener,35300368,Downtown
Kitchener,35300369,Downtown
Kitchener,35300370,Downtown
Kitchener,35300371,Downtown
Kitchener,35300372,Downtown
Kitchener,35300373,Downtown
Kitchener,35300374,Downtown
Kitchener,35300375,Downtown
Kitchener,35300376,Downtown
Kitchener,35300380,Downtown
Kitchener,35300381,Downtown
Kitchener,35300383,Downtown
Kitchener,35300384,Downtown
Kitchener,35300385,Downtown
Kitchener,35300386,Downtown
Kitchener,35300387,Downtown
Kitchener,35300388,Downtown
Kitchener,35300389,Downtown
Kitchener,35300390,Downtown
Kitchener,35300391,Downtown
Kitchener,35300392,Downtown
Kitchener,35300393,Downtown
Kitchener,35300394,Downtown
Kitchener,35300395,Downtown
Kitchener,35300396,Downtown
Kitchener,35300397,Downtown
Kitchener,35300398,Downtown
Kitchener,35300841,Downtown
Kitchener,35300842,Downtown
Kitchener,35300382,Downtown
Kitchener,35300135,Downtown
Kitchener,35300839,Downtown
Kitchener,35300840,Downtown
Kitchener,35300843,Downtown
Kitchener,35300844,Downtown
Kitchener,35300845,Downtown
Kitchener,35300846,Downtown
Kitchener,35300847,Downtown
Guelph,35230085,Downtown
Guelph,35230086,Downtown
Guelph,35230087,Downtown
Guelph,35230088,Downtown
Guelph,35230089,Downtown
Guelph,35230090,Downtown
Guelph,35230091,Downtown
Guelph,35230092,Downtown
Guelph,35230093,Downtown
Guelph,35230094,Downtown
Guelph,35230145,Downtown
Guelph,35230146,Downtown
Guelph,35230147,Downtown
Guelph,35230148,Downtown
Guelph,35230149,Downtown
Guelph,35230150,Downtown
Guelph,35230151,Downtown
Guelph,35230152,Downtown
Guelph,35230153,Downtown
Guelph,35230154,Downtown
Guelph,35230155,Downtown
Guelph,35230156,Downtown
Guelph,35230165,Downtown
Guelph,35230166,Downtown
Guelph,35230221,Downtown
Windsor,35370181,Downtown
Windsor,35370182,Downtown
Windsor,35370183,Downtown
Windsor,35370184,Downtown
Windsor,35370185,Downtown
Windsor,35370186,Downtown
Windsor,35370191,Downtown
Windsor,35370192,Downtown
Windsor,35370193,Downtown
Windsor,35370194,Downtown
Windsor,35370195,Downtown
Windsor,35370196,Downtown
Windsor,35370197,Downtown
Windsor,35370198,Downtown
Windsor,35370199,Downtown
Windsor,35370200,Downtown
Windsor,35370202,Downtown
Windsor,35370203,Downtown
Windsor,35370204,Downtown
Windsor,35370205,Downtown
Windsor,35370206,Downtown
Windsor,35370207,Downtown
Windsor,35370304,Downtown
Windsor,35370352,Downtown
Winnipeg,46110071,Downtown
Winnipeg,46110072,Downtown
Winnipeg,46110073,Downtown
Winnipeg,46110074,Downtown
Winnipeg,46110075,Downtown
Winnipeg,46110076,Downtown
Winnipeg,46110077,Downtown
Winnipeg,46110078,Downtown
Winnipeg,46110079,Downtown
Winnipeg,46110080,Downtown
Winnipeg,46110081,Downtown
Winnipeg,46110082,Downtown
Winnipeg,46110083,Downtown
Winnipeg,46110084,Downtown
Winnipeg,46110085,Downtown
Winnipeg,46110086,Downtown
Winnipeg,46110097,Downtown
Winnipeg,46110098,Downtown
Winnipeg,46110099,Downtown
Winnipeg,46110100,Downtown
Winnipeg,46110129,Downtown
Winnipeg,46110130,Downtown
Winnipeg,46110131,Downtown
Winnipeg,46110402,Downtown
Winnipeg,46110403,Downtown
Winnipeg,46110404,Downtown
Winnipeg,46110405,Downtown
Winnipeg,46110406,Downtown
Winnipeg,46110407,Downtown
Winnipeg,46110408,Downtown
Winnipeg,46110409,Downtown
Winnipeg,46110618,Downtown
Winnipeg,46110630,Downtown
Winnipeg,46110631,Downtown
Winnipeg,46110632,Downtown
Winnipeg,46110633,Downtown
Winnipeg,46110634,Downtown
Winnipeg,46110635,Downtown
Winnipeg,46110636,Downtown
Winnipeg,46110637,Downtown
Winnipeg,46110638,Downtown
Winnipeg,46110639,Downtown
Winnipeg,46110640,Downtown
Winnipeg,46110641,Downtown
Winnipeg,46110642,Downtown
Winnipeg,46110643,Downtown
Winnipeg,46110644,Downtown
Winnipeg,46110645,Downtown
Winnipeg,46110658,Downtown
Winnipeg,46110666,Downtown
Winnipeg,46110667,Downtown
Winnipeg,46110668,Downtown
Winnipeg,46110669,Downtown
Winnipeg,46110810,Downtown
Winnipeg,46111136,Downtown
Winnipeg,46111178,Downtown
Winnipeg,46111179,Downtown
Winnipeg,46111180,Downtown
Winnipeg,46111181,Downtown
Winnipeg,46111182,Downtown
Winnipeg,46111183,Downtown
Winnipeg,46111184,Downtown
Winnipeg,46111185,Downtown
Winnipeg,46111186,Downtown
Regina,47060262,Downtown
Regina,47060263,Downtown
Regina,47060264,Downtown
Regina,47060265,Downtown
Regina,47060266,Downtown
Regina,47060267,Downtown
Regina,47060268,Downtown
Regina,47060269,Downtown
Regina,47060270,Downtown
Regina,47060271,Downtown
Regina,47060273,Downtown
Regina,47060276,Downtown
Regina,47060277,Downtown
Regina,47060278,Downtown
Regina,47060279,Downtown
Regina,47060280,Downtown
Regina,47060281,Downtown
Regina,47060291,Downtown
Regina,47060292,Downtown
Regina,47060293,Downtown
Regina,47060294,Downtown
Regina,47060295,Downtown
Regina,47060296,Downtown
Regina,47060297,Downtown
Regina,47060299,Downtown
Regina,47060454,Downtown
Regina,47060455,Downtown
Regina,47060456,Downtown
Regina,47060664,Downtown
Regina,47062543,Downtown
Regina,47062544,Downtown
Regina,47062545,Downtown
Regina,47062546,Downtown
Lethbridge,48020100,Downtown
Lethbridge,48020101,Downtown
Lethbridge,48020102,Downtown
Lethbridge,48020103,Downtown
Lethbridge,48020104,Downtown
Lethbridge,48020105,Downtown
Lethbridge,48020106,Downtown
Lethbridge,48020203,Downtown
Lethbridge,48020204,Downtown
Calgary,48060580,Downtown
Calgary,48060581,Downtown
Calgary,48060582,Downtown
Calgary,48060583,Downtown
Calgary,48060584,Downtown
Calgary,48060585,Downtown
Calgary,48060586,Downtown
Calgary,48060587,Downtown
Calgary,48060595,Downtown
Calgary,48060596,Downtown
Calgary,48060597,Downtown
Calgary,48060598,Downtown
Calgary,48060599,Downtown
Calgary,48060600,Downtown
Calgary,48060601,Downtown
Calgary,48060602,Downtown
Calgary,48060603,Downtown
Calgary,48060604,Downtown
Calgary,48060605,Downtown
Calgary,48060606,Downtown
Calgary,48060607,Downtown
Calgary,48060636,Downtown
Calgary,48060637,Downtown
Calgary,48060638,Downtown
Calgary,48060639,Downtown
Calgary,48060640,Downtown
Calgary,48060643,Downtown
Calgary,48060644,Downtown
Calgary,48060645,Downtown
Calgary,48060646,Downtown
Calgary,48060647,Downtown
Calgary,48060648,Downtown
Calgary,48060649,Downtown
Calgary,48060650,Downtown
Calgary,48060651,Downtown
Calgary,48060652,Downtown
Calgary,48060654,Downtown
Calgary,48060655,Downtown
Calgary,48060656,Downtown
Calgary,48060660,Downtown
Calgary,48060661,Downtown
Calgary,48060662,Downtown
Calgary,48061643,Downtown
Calgary,48061669,Downtown
Calgary,48061670,Downtown
Calgary,48062151,Downtown
Calgary,48062152,Downtown
Calgary,48062153,Downtown
Calgary,48062510,Downtown
Calgary,48062511,Downtown
Calgary,48062512,Downtown
Calgary,48062513,Downtown
Calgary,48062768,Downtown
Calgary,48062769,Downtown
Edmonton,48110127,Downtown
Edmonton,48110130,Downtown
Edmonton,48110131,Downtown
Edmonton,48110132,Downtown
Edmonton,48110134,Downtown
Edmonton,48110135,Downtown
Edmonton,48110136,Downtown
Edmonton,48110142,Downtown
Edmonton,48110144,Downtown
Edmonton,48110145,Downtown
Edmonton,48110146,Downtown
Edmonton,48110148,Downtown
Edmonton,48110149,Downtown
Edmonton,48110150,Downtown
Edmonton,48110153,Downtown
Edmonton,48110154,Downtown
Edmonton,48110155,Downtown
Edmonton,48110156,Downtown
Edmonton,48110157,Downtown
Edmonton,48110158,Downtown
Edmonton,48110159,Downtown
Edmonton,48110160,Downtown
